word,count,freq,worldfreq
because,1861,0.0010948482126206,0.001
maybe,1802,0.0010601378179163,0.00025118864315096
another,1789,0.0010524897648459,0.00053703179637025
turned,1725,0.0010148378112684,0.00012022644346174
eyes,1683,0.00099012871673318,0.00016218100973589
being,1665,0.0009795391047895,0.00085113803820238
looked,1643,0.00096659624574724,0.00012022644346174
he'd,1618,0.00095188845138103,2.6302679918954E-5
others,1604,0.00094365208653596,0.00025703957827689
face,1603,0.00094306377476131,0.00027542287033382
after,1602,0.00094247546298666,0.0011748975549395
against,1599,0.00094071052766271,0.00048977881936845
ground,1584,0.00093188585104299,0.00014454397707459
grue,1557,0.00091600143312748,9.5499258602144E-8
left,1545,0.0009089416918317,0.00041686938347034
take,1544,0.00090835338005705,0.00079432823472428
might,1523,0.00089599883278944,0.00043651583224017
